货号,颜色,38,39,40,41,42,43,44,注%3A第一批新品仅售系带款
189103150,咖啡,9,10,7,10,10,9,9,
189103150,黑色,10,9,10,10,9,9,6,
176003910,摩卡,10,9,10,10,10,8,10,
176003910,黑色,8,9,9,10,10,8,9,
C82606134,暗棕,10,8,10,9,10,9,7,
C82606134,卡其,10,10,10,7,10,9,10,
C82706131,黑棕,9,9,9,9,9,10,10,
C82706131,卡其,10,9,10,9,9,10,9,
C63607185,棕色,10,9,9,9,10,10,9,
C63607185,黑色,10,6,10,10,9,9,10,
176003902,暗棕,10,8,7,10,9,10,8,
176003902,中棕,10,10,10,9,9,10,6,
C82506118,暗棕,10,10,10,10,10,10,10,
C82506118,黑色,10,10,10,10,7,10,9,
C63507194,棕色,9,10,9,8,8,10,10,
C63507194,黑色,5,9,9,10,9,9,9,
C82706126,暗棕,7,9,7,10,9,10,10,
C82706126,黑色,9,8,10,9,10,10,7,
C63607163,暗棕,,,9,10,,,,
C63607163,浅棕,,,8,10,,,,
C82606128,咖色,9,10,10,10,9,5,8,
C82606128,卡其,10,9,10,9,10,8,10,
C63506156,棕色,8,9,10,10,8,9,7,8
C63506156,黑色,10,10,10,9,10,10,10,9
C82506117,暗棕,9,10,9,8,9,9,7,
C82506117,黑色,8,9,10,9,10,10,10,
