商品名称,货号,条码,颜色,规格,数量,备注
,'139112023,'1391120230142,黑色,42,1,
,'139132001,'1391320010338,棕色,38,1,
,'139151026,'1391510260339,棕色,39,1,
,'139152009,'1391520090241,浅棕,41,1,
,'139153013,'1391530130541,卡其,41,1,
,'139162044,'1391620442043,绿色,43,1,
,'139162045,'1391620450238,浅棕,38,1,
,'139163032,'1391630320741,暗棕,41,1,
,'139203040,'1392030400543,卡其,43,1,
,'J1A1131,'J1A11310738,暗棕,38,1,
,'J1A1131,'J1A11310744,暗棕,44,1,
,'J1A1161,'J1A11610140,黑色,40,1,
,'J1A1170,'J1A11700238,浅棕,38,1,
,'J301-183-01,'J301-183-012941,光油腊磨砂,41,1,
,'J6A927,'J6A9270139,黑色,39,1,
,'JB138,'JB1382241,灰色,41,1,
,'C63606171,'C636061718339,套脚卡其,39,1,
,'C63606173,'C6360617358310,黄棕,310,1,
,'C63606174,'C6360617481313,无扣暗棕,313,1,
,'C63606174,'C6360617483313,带扣卡其,313,1,
,'C63606175,'C636061751342,卡其,42,1,
,'C63606222,'C636062221341,卡其,41,1,
,'C63606222,'C636062226942,深棕,42,1,
,'C63607179,'C636071790139,黑色,39,1,
,'C63607201,'C636072014242,酒红,42,1,
,'C63607208,'C636072081339,卡其,39,1,
,'C63607208,'C636072081341,卡其,41,1,
,'C63607210,'C6360721022379,土黄,379,1,
,'C63607217,'C636072170239,棕色,39,1,
,'C72606106,'C726061060240,棕色,40,1,
,'C72606106,'C7260610615407,灰色,407,1,
,'X159001505,'X1590015050141,黑色,41,1,
,'C82606134,'C82606134null44,卡其,44,1,
,'189103150,'189103150null40,咖啡,40,1,
,'C63507194,'C63507194null43,黑色,43,1,
